Name,Designation,RA,Dec,Jmag,J_unc,Hmag,H_unc,Kmag,K_unc,W1,W1_unc,W2,W2_unc,W3,W3_unc,W4,W4_unc,Spectral Type,Spectra (FITS),Opt Spec Refs,NIR Spec Refs,pm_ra (mas),pm_ra_unc,pm_dec (mas),pm_dec_unc,pi (mas),pi_unc,radial velocity (km/s),rv_unc,Astrometry Refs,Discovery Refs,Group/Age,Note
DENIS J043627.8-411446,04 36 27.8 -41 14 46,69.11621,-41.25,13.1,0.03,12.43,0.02,12.05,0.03,11.74,0.02,11.46,0.02,11.11,0.08,9.18,,M8β,,Cruz et al. 2007,Cruz et al. in prep,0.073,0.012,0.013,0.016,,,,,Faherty et al. 2009,Phan-Bao et al. 2003,,
SDSS 0443+0002,04 43 37.6 +00 02 05,70.9067,0.03,12.51,0.03,11.8,0.02,11.22,0.02,10.83,0.02,10.48,0.02,10.03,0.05,8.42,,M9γ,,Cruz et al. 2007,Cruz et al. in prep,0.028,0.014,-0.099,0.014,,,,,Faherty et al. 2009,Hawley et al. 2002,,
,05 01 24.06 -00 10 45.2,75.35025,-0.18,14.98,0.04,13.71,0.03,12.96,0.04,12.05,0.02,11.52,0.02,10.95,0.11,9.17,,L4γ,,Cruz et al. 2009,,0.1824,0.0043,-0.1327,0.0042,76.4,4.8,,,Faherty et al. 2012,Reid et al. 2008,,
,Broadway,,,15.4,,14.1,,13.2,,12.4,0.0,11.9,0.0,11.3,0.1,9.1,,L5γ,,Kirkpatrick et al. in prep,Cruz et al. in prep,-0.028,0.016,0.099,0.018,,,,,Faherty et al. 2009,Cruz et al. 2003,,
,Queens,,,15.2,,14.2,,13.6,,13.0,0.0,12.7,0.0,12.6,0.3,9.2,,L1γ,,Cruz et al. in prep,Cruz et al. in prep,0.0286,0.0042,-0.016,0.004,21.4,6.9,,,Faherty et al. 2012,Cruz et al. 2007,,
,05 34 15.94 -06 31 39.7,83.56645,-6.53,16.05,0.08,15.37,0.1,14.94,0.1,14.79,0.04,14.26,0.06,11.59,,8.27,0.3,M8γ,,Kirkpatrick et al. 2010,Kirkpatrick et al. 2010,,,,,,,,,,Kirkpatrick et al. 2010,,
,Manhattan,,,15.7,,14.6,,13.8,,13.3,0.0,12.8,0.0,12.6,0.4,9.2,,L2γ,,Cruz et al. in prep,,0.0246,0.0053,-0.0306,0.005,25.6,9.4,,,Faherty et al. 2012,Cruz et al. 2007,,
,06 08 52.8 -27 53 58,92.22016,-27.9,13.6,0.03,12.9,0.03,12.37,0.03,11.98,0.02,11.62,0.02,11.31,0.11,9.09,,M8.5γ,,Rice et al. 2010,Rice et al. 2010,0.0089,0.0035,0.0107,0.0035,32.0,3.6,,,Faherty et al. 2012,Cruz et al. 2003,,
,06 52 48.51 -57 41 37.6,103.20213,-57.69,13.63,0.03,12.97,0.02,12.45,0.02,12.15,0.02,11.86,0.02,11.04,0.05,9.6,0.37,M8β,,Reid et al. 2008,,0.001,0.0034,0.0292,0.0033,31.3,3.2,,,Faherty et al. 2012,Reid et al. 2008,,
,07 12 37.86 -61 55 52.8,108.15775,-61.93,15.3,0.06,14.39,0.04,13.67,0.05,12.99,0.02,12.63,0.02,11.48,0.1,9.51,,L1β,,Cruz et al. 2009,,-0.0357,0.0049,0.0791,0.0048,22.9,9.1,,,Faherty et al. 2012,Cruz et al. 2009,,
,Bronx,,,13.4,,12.6,,12.1,,11.76,0.02,11.4,0.02,10.76,0.1,8.72,,M9γ,,Cruz et al. 2007,Cruz et al. in prep,-0.048,0.019,-0.089,0.019,,,,,Faherty et al. 2009,Cruz et al. 2007,,
,10 22 04.89 +02 00 47.7,155.52038,2.01,14.1,0.03,13.4,0.03,12.9,0.03,12.61,0.03,12.34,0.03,11.97,0.41,8.53,,M9β,,Reid et al. 2008,,-0.1562,0.0066,-0.429,0.0068,26.4,11.5,,,Faherty et al. 2012,Reid et al. 2008,,
,10 22 48.21 +58 25 45.3,155.70088,58.43,13.5,0.03,12.64,0.03,12.16,0.03,11.76,0.02,11.5,0.02,11.2,0.11,9.13,,L1β,,Cruz et al. 2009,,-0.36,0.1,-0.78,0.09,,,,,Faherty et al. 2009,Reid et al. 2008,,
SSSPM 1102-3431,11 02 09.83 -34 30 35.5,165.54097,-34.51,13.03,0.02,12.36,0.02,11.89,0.02,11.44,0.02,10.79,0.02,9.39,0.03,8.02,0.19,M8.5γ,,Scholz et al. 2005,,-0.033,0.012,-0.024,0.015,,,,,Faherty et al. 2009,Scholz et al. 2005,,
DENIS-P J115442.2-340039,Chelsea,,,14.1,,13.3,,12.8,,12.35,0.02,12.04,0.02,11.37,0.11,9.55,,L0β,,Cruz et al. in prep,Cruz et al. in prep,-0.161,0.013,0.004,0.015,,,,,Faherty et al. 2009,Bouy et al. 2003,,
,14 11 21.3 -21 19 50,212.83879,-21.33,12.44,0.02,11.83,0.03,11.33,0.02,11.08,0.02,10.82,0.02,10.65,0.07,8.81,,M9β,,Cruz et al. 2003,Kendall et al. 2004,-0.03,0.2,0.09,0.2,,,,,Faherty et al. 2009,Kendall et al. 2004,,
,Soho,,,14.5,,13.4,,12.6,,11.9,0.0,11.5,0.0,10.8,0.1,9.0,,L4:β,,Reid et al. 2008,Cruz et al. in prep,0.262,0.022,-0.12,0.022,,,,,Faherty et al. 2009,Wilson et al. 2003,,
,Nolita,,,15.9,,14.8,,14.0,,13.2,0.0,12.7,0.0,11.4,0.2,8.8,,L4γ,,Cruz et al. in prep,Cruz et al. in prep,0.032,0.019,-0.061,0.02,,,,,Faherty et al. 2009,Cruz et al. in prep,,
,15 47 47.19 -24 23 49.3,236.94663,-24.4,13.97,0.03,13.27,0.03,12.74,0.03,12.41,0.03,12.11,0.03,12.11,,8.74,,M9γ,,Reid et al. 2008,,-0.133,0.015,-0.122,0.016,,,,,Faherty et al. 2009,Reid et al. 2008,,
,15 51 52.37 +09 41 14.8,237.96821,9.69,16.32,0.11,15.11,0.07,14.31,0.06,13.6,0.03,13.12,0.03,12.68,0.48,9.16,,L4γ,,Cruz et al. in prep,,-0.07,0.022,-0.05,0.022,,,,,Faherty et al. 2009,Reid et al. 2008,,
,15 52 59.06 +29 48 48.5,238.24608,29.81,13.48,0.03,12.61,0.03,12.02,0.03,11.54,0.02,11.21,0.02,10.66,0.05,9.0,,L0β,,Cruz et al. 2009,,-0.157,0.02,-0.051,0.02,,,,,Faherty et al. 2009,Wilson et al. 2003,,
,15 57 50.11 -29 52 43.1,239.45881,-29.88,16.32,0.12,15.45,0.1,14.85,0.11,14.44,0.04,14.07,0.06,12.15,0.34,8.67,,M9δ,,Kirkpatrick et al. 2010,Kirkpatrick et al. 2010,,,,,,,,,,Kirkpatrick et al. 2010,,
,16 15 42.5 +49 53 21,243.92723,49.89,16.79,0.14,15.33,0.1,14.31,0.07,13.2,0.02,12.62,0.02,12.13,0.13,9.31,,L4γ,,Cruz et al. in prep,Geissler et al. 2011,,,,,,,,,,Cruz et al. 2007,,
,Greenwich,,,14.4,,13.6,,13.0,,12.6,0.0,12.2,0.02,11.66,0.15,9.33,,L0γ,,Cruz et al. in prep,,-0.053,0.011,-0.036,0.016,,,,,Faherty et al. 2009,Cruz et al. 2007,,
,17 26 00.0 +15 38 19,261.50029,15.64,15.67,0.07,14.47,0.05,13.66,0.05,13.07,0.03,12.69,0.03,11.56,0.16,9.31,,L3.5γ,,Cruz et al. 2009,,-0.031,0.013,-0.048,0.014,,,,,Faherty et al. 2009,Kirkpatrick et al. 2000,,
,19 35 55.95 -28 46 34.3,293.98312,-28.78,13.95,0.03,13.18,0.02,12.71,0.03,12.35,0.03,11.91,0.03,10.52,0.08,8.64,,M9γ,,Reid et al. 2008,,,,,,,,,,,Reid et al. 2008,,
,19 56 47.00 -75 42 27.0,299.19583,-75.71,16.15,0.1,15.04,0.1,14.23,0.07,13.69,0.03,13.25,0.03,12.68,,9.17,,L0γ,,Cruz et al. 2009,,,,,,,,,,,Reid et al. 2008,,
DENIS-P J200048.3-752306,20 00 48.41 -75 23 07.0,300.20171,-75.39,12.73,0.03,11.97,0.03,11.51,0.03,11.11,0.02,10.8,0.02,10.55,0.07,8.55,,M9γ,,Reid et al. 2008,,,,,,,,,,,,,
,Rockefeller,,,15.3,,14.2,,13.4,,12.5,0.0,12.1,0.03,11.44,0.21,8.82,,L5β,,Cruz et al. in prep,Cruz et al. in prep,-0.098,0.013,-0.105,0.014,,,,,Faherty et al. 2009,Cruz et al. 2007,,
,20 13 51.52 -28 06 02.0,303.46467,-28.1,14.24,0.03,13.46,0.03,12.94,0.03,12.53,0.03,12.16,0.03,11.88,0.28,8.66,,M9γ,,Cruz et al. in prep,,,,,,,,,,,Reid et al. 2008,,
,21 26 50.40 -81 40 29.3,321.71,-81.67,15.54,0.06,14.41,0.05,13.55,0.04,12.91,0.02,12.47,0.02,11.89,0.16,9.36,,L3γ,,Cruz et al. 2009,,,,,,,,,,,Reid et al. 2008,,
,Tribeca,,,16.4,0.1,15.0,,14.1,,13.37,0.03,12.92,0.03,12.05,0.32,8.43,,L4β,,Cruz et al. in prep,,,,,,,,,,,Cruz et al. in prep,,
,Harlem,,,15.5,,14.4,,13.6,,12.82,0.02,12.38,0.03,11.89,0.22,9.26,,L4γ,,Cruz et al. in prep,,0.111,0.013,-0.182,0.018,,,,,Faherty et al. 2009,K00,,
,22 08 13.63 +29 21 21.5,332.05679,29.36,15.8,0.09,14.79,0.07,14.15,0.07,13.35,0.03,12.89,0.03,12.58,0.39,9.3,,L3γ,,Cruz et al. 2009,,0.111,0.014,-0.011,0.014,,,,,Faherty et al. 2009,Kirkpatrick et al. 2000,,
,22 13 44.9 -21 36 07,333.43715,-21.6,15.38,0.04,14.4,0.06,13.76,0.04,13.23,0.03,12.83,0.03,11.55,0.2,9.07,,L0γ,,Cruz et al. 2009,,0.06,0.011,-0.063,0.017,,,,,Faherty et al. 2009,Cruz et al. 2007,,
SDSS 2249+0044,22 49 53.45 +00 44 04.6,342.47273,0.73,16.59,0.12,15.42,0.11,14.36,0.07,13.58,0.03,13.14,0.05,11.28,,7.69,,L4γ,,Cruz et al. in prep,Geballe et al. 2002,0.075,0.018,0.026,0.018,,,,,Faherty et al. 2009,Geballe et al. 2002,,Binary: Allers et al. 2010
,Chinatown,,,15.8,,14.7,,14.0,,13.55,0.03,13.1,0.03,11.67,0.23,8.59,,L0γ,,Cruz et al. in prep,,,,,,,,,,,Cruz et al. in prep,,
,23 22 52.99 -61 51 27.5,350.72079,-61.86,15.55,0.06,14.54,0.06,13.86,0.04,13.24,0.03,12.84,0.03,12.68,0.39,9.38,,L2γ,,Cruz et al. 2009,,,,,,,,,,,Reid et al. 2008,,
